Date,Year,Direction,Day,Dist,ElapsedTime,ElapsedNum,AvgPace,AvgPaceNum,AvgSpeed,TotalAscent,TotalDescent,MinTemp,MaxTemp,Calories,AvgHR,Sleep,SleepNum
2024-07-01 3:52:00,2024,NoBo,38,26.4,11:55:27,11.924167,27:06,27.100000,2.22,6551,6379,60.8,91.4,3675,109,10:34:33,10.57583
2024-06-30 3:59:00,2024,NoBo,37,29.4,15:33:22,15.556111,31:45,31.750000,1.89,9838,11403,55,88,4569,106,6:56:38,6.94389
2024-06-29 3:53:00,2024,NoBo,36,42.7,19:03:18,19.055000,26:47,26.783333,2.25,14577,13600,57,86,5548,103,3:26:42,3.44500
2024-06-28 3:54:00,2024,NoBo,35,40.7,16:09:48,16.163333,23:50,23.833333,2.52,10948,12703,54,86,4757,113,6:20:12,6.33667
2024-06-27 3:58:00,2024,NoBo,34,38.8,16:42:38,16.710556,25:23,25.383333,2.37,14730,11979,55,81,5425,114,5:47:22,5.78944
2024-06-26 3:58:00,2024,NoBo,33,56.6,17:52:42,17.878333,18:57,18.950000,3.16,13864,14135,63,88,6945,119,4:37:18,4.62167
2024-06-25 3:58:00,2024,NoBo,32,51.3,17:15:09,17.252500,20:09,20.150000,2.97,13232,12810,64,91,6278,116,5:14:51,5.24750
2024-06-24 3:55:00,2024,NoBo,31,37.1,16:34:06,16.568333,26:48,26.800000,2.24,7191,8397,64,93,4337,96,5:55:54,5.93167
2024-06-23 3:59:00,2024,NoBo,30,49.8,17:32:32,17.542222,21:08,21.133333,2.83,9779,9966,68,90,5336,107,4:57:28,4.95778
2024-06-22 3:56:00,2024,NoBo,29,50.7,17:10:58,17.182778,19:47,19.783333,3.05,10141,9484,73,91,5720,109,5:19:02,5.31722
2024-06-21 3:57:00,2024,NoBo,28,55.2,16:33:11,16.553056,18:00,18.000000,3.33,11386,10316,63,93,6680,117,5:56:49,5.94694
2024-06-20 3:50:00,2024,NoBo,27,50.3,17:09:08,17.152222,20:28,20.466667,2.93,10103,10269,64,93,6388,113,5:20:52,5.34778
2024-06-19 3:58:00,2024,NoBo,26,51,15:42:41,15.711389,18:29,18.483333,3.25,9958,10092,75,93,6082,116,6:47:19,6.78861
